Species,Trophic.Niche,Realm
Accipiter albogularis,Vertivore,Oceanian
Accipiter badius,Vertivore,Afrotropical
Accipiter bicolor,Vertivore,Neotropical
Accipiter brachyurus,Vertivore,Oceanian
Accipiter brevipes,Vertivore,Palearctic
Accipiter butleri,Vertivore,Oriental
Accipiter castanilius,Vertivore,Afrotropical
Accipiter cirrocephalus,Vertivore,Australian
Accipiter collaris,Vertivore,Neotropical
Accipiter cooperii,Vertivore,Nearctic
Accipiter erythrauchen,Vertivore,Oceanian
Accipiter erythropus,Vertivore,Afrotropical
Accipiter fasciatus,Vertivore,Australian
Accipiter francesiae,Invertivore,Madagascan
Accipiter gentilis,Vertivore,Saharo-Arabian
Accipiter griseiceps,Vertivore,Oriental
Accipiter gularis,Vertivore,Palearctic
Accipiter gundlachi,Vertivore,Neotropical
Accipiter haplochrous,Vertivore,Oceanian
Accipiter henicogrammus,Vertivore,Oceanian
Accipiter henstii,Vertivore,Madagascan
Accipiter hiogaster,Vertivore,Oceanian
Accipiter imitator,Vertivore,Oceanian
Accipiter luteoschistaceus,Vertivore,Oceanian
Accipiter madagascariensis,Vertivore,Madagascan
Accipiter melanochlamys,Vertivore,Oceanian
Accipiter melanoleucus,Vertivore,Afrotropical
Accipiter meyerianus,Vertivore,Oceanian
Accipiter minullus,Vertivore,Afrotropical
Accipiter nanus,Invertivore,Oriental
Accipiter nisus,Vertivore,Palearctic
Accipiter novaehollandiae,Vertivore,Australian
Accipiter ovampensis,Vertivore,Afrotropical
Accipiter poliocephalus,Vertivore,Oceanian
Accipiter poliogaster,Vertivore,Neotropical
Accipiter princeps,Vertivore,Oceanian
Accipiter rhodogaster,Vertivore,Oceanian
Accipiter rufitorques,Vertivore,Oceanian
Accipiter rufiventris,Vertivore,Afrotropical
Accipiter soloensis,Vertivore,Sino-Japanese
Accipiter striatus,Vertivore,Nearctic
Accipiter superciliosus,Vertivore,Neotropical
Accipiter sylvestris,Vertivore,Oriental
Accipiter tachiro,Vertivore,Afrotropical
Accipiter toussenelii,Vertivore,Afrotropical
Accipiter trinotatus,Vertivore,Oceanian
Accipiter trivirgatus,Vertivore,Oriental
Accipiter virgatus,Vertivore,Oriental
Aegypius monachus,Scavenger,Palearctic
Aquila adalberti,Vertivore,Palearctic
Aquila africana,Vertivore,Afrotropical
Aquila audax,Vertivore,Australian
Aquila chrysaetos,Vertivore,Palearctic
Aquila fasciata,Vertivore,Saharo-Arabian
Aquila gurneyi,Vertivore,Oceanian
Aquila heliaca,Vertivore,Palearctic
Aquila nipalensis,Vertivore,Palearctic
Aquila rapax,Vertivore,Afrotropical
Aquila spilogaster,Vertivore,Afrotropical
Aquila verreauxii,Vertivore,Afrotropical
Aviceda cuculoides,Vertivore,Afrotropical
Aviceda jerdoni,Omnivore,Oriental
Aviceda leuphotes,Invertivore,Oriental
Aviceda madagascariensis,Vertivore,Madagascan
Aviceda subcristata,Omnivore,Australian
Busarellus nigricollis,Aquatic predator,Neotropical
Butastur indicus,Vertivore,Palearctic
Butastur liventer,Vertivore,Oriental
Butastur rufipennis,Invertivore,Afrotropical
Butastur teesa,Vertivore,Oriental
Buteo albigula,Vertivore,Neotropical
Buteo albonotatus,Vertivore,Neotropical
Buteo augur,Vertivore,Afrotropical
Buteo auguralis,Vertivore,Afrotropical
Buteo brachypterus,Vertivore,Madagascan
Buteo brachyurus,Vertivore,Neotropical
Buteo buteo,Vertivore,Palearctic
Buteo galapagoensis,Vertivore,Neotropical
Buteo hemilasius,Vertivore,Palearctic
Buteo jamaicensis,Vertivore,Nearctic
Buteo japonicus,Vertivore,Palearctic
Buteo lagopus,Vertivore,Saharo-Arabian
Buteo lineatus,Vertivore,Nearctic
Buteo nitidus,Vertivore,Neotropical
Buteo oreophilus,Vertivore,Afrotropical
Buteo plagiatus,Vertivore,Neotropical
Buteo platypterus,Vertivore,Nearctic
Buteo refectus,Vertivore,Sino-Japanese
Buteo regalis,Vertivore,Nearctic
Buteo ridgwayi,Vertivore,Neotropical
Buteo rufinus,Vertivore,Saharo-Arabian
Buteo rufofuscus,Vertivore,Afrotropical
Buteo socotraensis,Vertivore,Afrotropical
Buteo solitarius,Vertivore,Nearctic
Buteo swainsoni,Vertivore,Nearctic
Buteo trizonatus,Vertivore,Afrotropical
Buteo ventralis,Vertivore,Neotropical
Buteogallus aequinoctialis,Aquatic predator,Neotropical
Buteogallus anthracinus,Aquatic predator,Neotropical
Buteogallus coronatus,Vertivore,Neotropical
Buteogallus gundlachii,Omnivore,Neotropical
Buteogallus lacernulatus,Vertivore,Neotropical
Buteogallus meridionalis,Vertivore,Neotropical
Buteogallus schistaceus,Vertivore,Neotropical
Buteogallus solitarius,Vertivore,Neotropical
Buteogallus urubitinga,Vertivore,Neotropical
Chelictinia riocourii,Invertivore,Afrotropical
Chondrohierax uncinatus,Invertivore,Neotropical
Chondrohierax wilsonii,Invertivore,Neotropical
Circaetus beaudouini,Vertivore,Afrotropical
Circaetus cinerascens,Vertivore,Afrotropical
Circaetus cinereus,Vertivore,Afrotropical
Circaetus fasciolatus,Vertivore,Afrotropical
Circaetus gallicus,Vertivore,Saharo-Arabian
Circaetus pectoralis,Vertivore,Afrotropical
Circus aeruginosus,Vertivore,Palearctic
Circus approximans,Vertivore,Australian
Circus assimilis,Vertivore,Australian
Circus buffoni,Vertivore,Neotropical
Circus cinereus,Vertivore,Neotropical
Circus cyaneus,Vertivore,Palearctic
Circus hudsonius,Vertivore,Nearctic
Circus macrosceles,Vertivore,Madagascan
Circus macrourus,Vertivore,Palearctic
Circus maillardi,Vertivore,Oceanian
Circus maurus,Vertivore,Afrotropical
Circus melanoleucos,Vertivore,Palearctic
Circus pygargus,Vertivore,Palearctic
Circus ranivorus,Vertivore,Afrotropical
Circus spilonotus,Vertivore,Palearctic
Circus spilothorax,Vertivore,Oceanian
Clanga clanga,Vertivore,Palearctic
Clanga hastata,Vertivore,Oriental
Clanga pomarina,Vertivore,Palearctic
Cryptoleucopteryx plumbea,Vertivore,Neotropical
Dryotriorchis spectabilis,Vertivore,Afrotropical
Elanoides forficatus,Invertivore,Neotropical
Elanus axillaris,Vertivore,Australian
Elanus caeruleus,Vertivore,Afrotropical
Elanus leucurus,Vertivore,Neotropical
Elanus scriptus,Vertivore,Australian
Erythrotriorchis buergersi,Vertivore,Oceanian
Erythrotriorchis radiatus,Vertivore,Australian
Eutriorchis astur,Vertivore,Madagascan
Gampsonyx swainsonii,Vertivore,Neotropical
Geranoaetus albicaudatus,Vertivore,Neotropical
Geranoaetus melanoleucus,Vertivore,Neotropical
Geranoaetus polyosoma,Vertivore,Neotropical
Geranospiza caerulescens,Vertivore,Neotropical
Gypaetus barbatus,Scavenger,Sino-Japanese
Gypohierax angolensis,Frugivore,Afrotropical
Gyps africanus,Scavenger,Afrotropical
Gyps bengalensis,Scavenger,Oriental
Gyps coprotheres,Scavenger,Afrotropical
Gyps fulvus,Scavenger,Palearctic
Gyps himalayensis,Scavenger,Sino-Japanese
Gyps indicus,Scavenger,Oriental
Gyps rueppelli,Scavenger,Afrotropical
Gyps tenuirostris,Scavenger,Oriental
Haliaeetus albicilla,Aquatic predator,Palearctic
Haliaeetus leucocephalus,Omnivore,Nearctic
Haliaeetus leucogaster,Aquatic predator,Oceanian
Haliaeetus leucoryphus,Aquatic predator,Oriental
Haliaeetus pelagicus,Aquatic predator,Palearctic
Haliaeetus sanfordi,Omnivore,Oceanian
Haliaeetus vocifer,Aquatic predator,Afrotropical
Haliaeetus vociferoides,Aquatic predator,Madagascan
Haliastur indus,Omnivore,Oriental
Haliastur sphenurus,Omnivore,Australian
Hamirostra melanosternon,Vertivore,Australian
Harpagus bidentatus,Invertivore,Neotropical
Harpagus diodon,Invertivore,Neotropical
Harpia harpyja,Vertivore,Neotropical
Harpyopsis novaeguineae,Vertivore,Oceanian
Helicolestes hamatus,Invertivore,Neotropical
Henicopernis infuscatus,Invertivore,Oceanian
Henicopernis infuscatus,Invertivore,Oceanian
Henicopernis longicauda,Invertivore,Oceanian
Hieraaetus ayresii,Vertivore,Afrotropical
Hieraaetus morphnoides,Vertivore,Australian
Hieraaetus pennatus,Vertivore,Palearctic
Hieraaetus wahlbergi,Vertivore,Afrotropical
Hieraaetus weiskei,Vertivore,Oceanian
Icthyophaga humilis,Aquatic predator,Oriental
Icthyophaga ichthyaetus,Aquatic predator,Oriental
Ictinaetus malaiensis,Vertivore,Oriental
Ictinia mississippiensis,Invertivore,Nearctic
Ictinia plumbea,Invertivore,Neotropical
Kaupifalco monogrammicus,Invertivore,Afrotropical
Leptodon cayanensis,Omnivore,Neotropical
Leptodon forbesi,Omnivore,Neotropical
Leucopternis kuhli,Vertivore,Neotropical
Leucopternis melanops,Vertivore,Neotropical
Leucopternis semiplumbeus,Vertivore,Neotropical
Lophaetus occipitalis,Vertivore,Afrotropical
Lophoictinia isura,Vertivore,Australian
Lophotriorchis kienerii,Vertivore,Oriental
Macheiramphus alcinus,Vertivore,Afrotropical
Megatriorchis doriae,Vertivore,Oceanian
Melierax canorus,Vertivore,Afrotropical
Melierax metabates,Vertivore,Afrotropical
Melierax poliopterus,Vertivore,Afrotropical
Micronisus gabar,Vertivore,Afrotropical
Milvus aegyptius,Omnivore,NA
Milvus migrans,Omnivore,Oriental
Milvus milvus,Omnivore,Palearctic
Morphnarchus princeps,Vertivore,Neotropical
Morphnus guianensis,Vertivore,Neotropical
Necrosyrtes monachus,Scavenger,Afrotropical
Neophron percnopterus,Scavenger,Saharo-Arabian
Nisaetus alboniger,Vertivore,Oriental
Nisaetus bartelsi,Vertivore,Oriental
Nisaetus cirrhatus,Vertivore,Oriental
Nisaetus floris,Vertivore,Oceanian
Nisaetus lanceolatus,Vertivore,Oriental
Nisaetus nanus,Vertivore,Oriental
Nisaetus nipalensis,Vertivore,Sino-Japanese
Nisaetus philippensis,Vertivore,Oriental
Nisaetus pinskeri,Vertivore,Oceanian
Parabuteo leucorrhous,Vertivore,Neotropical
Parabuteo unicinctus,Vertivore,Neotropical
Pernis apivorus,Invertivore,Palearctic
Pernis celebensis,Invertivore,Oriental
Pernis ptilorhynchus,Invertivore,Sino-Japanese
Pernis steerei,Invertivore,Oceanian
Pithecophaga jefferyi,Vertivore,Oriental
Polemaetus bellicosus,Vertivore,Afrotropical
Polyboroides radiatus,Vertivore,Madagascan
Polyboroides typus,Vertivore,Afrotropical
Pseudastur albicollis,Vertivore,Neotropical
Pseudastur occidentalis,Vertivore,Neotropical
Pseudastur polionotus,Vertivore,Neotropical
Rostrhamus sociabilis,Aquatic predator,Neotropical
Rupornis magnirostris,Vertivore,Neotropical
Sarcogyps calvus,Scavenger,Oriental
Spilornis cheela,Vertivore,Oriental
Spilornis elgini,Vertivore,Oriental
Spilornis holospilus,Vertivore,Oceanian
Spilornis holospilus,Vertivore,Oceanian
Spilornis kinabaluensis,Vertivore,Oriental
Spilornis klossi,Vertivore,Oriental
Spilornis rufipectus,Vertivore,Oriental
Spizaetus isidori,Vertivore,Neotropical
Spizaetus melanoleucus,Vertivore,Neotropical
Spizaetus ornatus,Vertivore,Neotropical
Spizaetus tyrannus,Vertivore,Neotropical
Stephanoaetus coronatus,Vertivore,Afrotropical
Terathopius ecaudatus,Omnivore,Afrotropical
Torgos tracheliotos,Scavenger,Afrotropical
Trigonoceps occipitalis,Scavenger,Afrotropical
Urotriorchis macrourus,Vertivore,Afrotropical
Pandion haliaetus,Aquatic predator,Palearctic
Sagittarius serpentarius,Vertivore,Afrotropical
Aix galericulata,Herbivore aquatic,Palearctic
Aix sponsa,Omnivore,Nearctic
Alopochen aegyptiaca,Omnivore,Afrotropical
Amazonetta brasiliensis,Herbivore aquatic,Neotropical
Anas acuta,Herbivore aquatic,Saharo-Arabian
Anas albogularis,Aquatic predator,Oriental
Anas andium,Herbivore aquatic,Neotropical
Anas aucklandica,Aquatic predator,Neotropical
Anas bahamensis,Herbivore aquatic,Neotropical
Anas bernieri,Herbivore aquatic,Madagascan
Anas capensis,Aquatic predator,Afrotropical
Anas carolinensis,Aquatic predator,NA
Anas castanea,Aquatic predator,Australian
Anas chlorotis,Herbivore aquatic,Australian
Anas crecca,Herbivore aquatic,Saharo-Arabian
Anas eatoni,Omnivore,Madagascan
Anas erythrorhyncha,Herbivore aquatic,Afrotropical
Anas flavirostris,Herbivore aquatic,Neotropical
Anas fulvigula,Herbivore aquatic,Nearctic
Anas georgica,Herbivore aquatic,Neotropical
Anas gibberifrons,Aquatic predator,Oceanian
Anas gracilis,Aquatic predator,Australian
Anas laysanensis,Aquatic predator,Nearctic
Anas luzonica,Herbivore aquatic,Oceanian
Anas melleri,Herbivore aquatic,Madagascan
Anas nesiotis,Aquatic predator,Palearctic
Anas platyrhynchos,Herbivore aquatic,Palearctic
Anas poecilorhyncha,Herbivore aquatic,Oriental
Anas rubripes,Herbivore aquatic,Nearctic
Anas sparsa,Omnivore,Afrotropical
Anas superciliosa,Herbivore aquatic,Australian
Anas undulata,Herbivore aquatic,Afrotropical
Anas wyvilliana,Omnivore,Nearctic
Anas zonorhyncha,Herbivore aquatic,Palearctic
Anser albifrons,Herbivore terrestrial,Palearctic
Anser anser,Herbivore terrestrial,Palearctic
Anser brachyrhynchus,Herbivore terrestrial,Nearctic
Anser caerulescens,Herbivore terrestrial,Nearctic
Anser canagicus,Omnivore,Saharo-Arabian
Anser cygnoid,Herbivore terrestrial,Palearctic
Anser erythropus,Herbivore terrestrial,Palearctic
Anser fabalis,Herbivore terrestrial,Palearctic
Anser indicus,Herbivore terrestrial,Palearctic
Anser rossii,Herbivore terrestrial,Palearctic
Asarcornis scutulata,Omnivore,Oriental
Aythya affinis,Aquatic predator,Nearctic
Aythya americana,Herbivore aquatic,Nearctic
Aythya australis,Aquatic predator,Australian
Aythya baeri,Herbivore aquatic,Palearctic
Aythya collaris,Herbivore aquatic,Nearctic
Aythya ferina,Herbivore aquatic,Palearctic
Aythya fuligula,Herbivore aquatic,Palearctic
Aythya innotata,Aquatic predator,Madagascan
Aythya marila,Aquatic predator,Palearctic
Aythya novaeseelandiae,Herbivore aquatic,Australian
Aythya nyroca,Herbivore aquatic,Saharo-Arabian
Aythya valisineria,Herbivore aquatic,Nearctic
Biziura lobata,Aquatic predator,Australian
Branta bernicla,Herbivore terrestrial,Palearctic
Branta canadensis,Herbivore terrestrial,Nearctic
Branta hutchinsii,Herbivore terrestrial,Nearctic
Branta leucopsis,Herbivore terrestrial,Palearctic
Branta ruficollis,Herbivore terrestrial,Palearctic
Branta sandvicensis,Herbivore terrestrial,Nearctic
Bucephala albeola,Aquatic predator,Nearctic
Bucephala clangula,Aquatic predator,Palearctic
Bucephala islandica,Aquatic predator,Nearctic
Cairina moschata,Omnivore,Neotropical
Callonetta leucophrys,Herbivore aquatic,Neotropical
Cereopsis novaehollandiae,Herbivore terrestrial,Australian
Chenonetta jubata,Herbivore terrestrial,Australian
Chloephaga hybrida,Herbivore terrestrial,Neotropical
Chloephaga melanoptera,Herbivore terrestrial,Neotropical
Chloephaga picta,Herbivore terrestrial,Neotropical
Chloephaga poliocephala,Herbivore terrestrial,Neotropical
Chloephaga rubidiceps,Herbivore terrestrial,Neotropical
Clangula hyemalis,Aquatic predator,Nearctic
Coscoroba coscoroba,Aquatic predator,Neotropical
Cyanochen cyanoptera,Herbivore terrestrial,Afrotropical
Cygnus atratus,Herbivore aquatic,Australian
Cygnus buccinator,Herbivore aquatic,Nearctic
Cygnus columbianus,Herbivore aquatic,Palearctic
Cygnus cygnus,Herbivore aquatic,Palearctic
Cygnus melancoryphus,Herbivore aquatic,Neotropical
Cygnus olor,Herbivore aquatic,Palearctic
Dendrocygna arborea,Omnivore,Neotropical
Dendrocygna arcuata,Herbivore aquatic,Australian
Dendrocygna autumnalis,Herbivore terrestrial,Neotropical
Dendrocygna bicolor,Omnivore,Afrotropical
Dendrocygna eytoni,Herbivore terrestrial,Australian
Dendrocygna guttata,Omnivore,Oceanian
Dendrocygna javanica,Herbivore aquatic,Oriental
Dendrocygna viduata,Herbivore aquatic,Afrotropical
Heteronetta atricapilla,Herbivore aquatic,Neotropical
Histrionicus histrionicus,Aquatic predator,Saharo-Arabian
Hymenolaimus malacorhynchos,Aquatic predator,Australian
Lophodytes cucullatus,Aquatic predator,Nearctic
Lophonetta specularioides,Aquatic predator,Neotropical
Malacorhynchus membranaceus,Omnivore,Australian
Mareca americana,Omnivore,Nearctic
Mareca falcata,Herbivore aquatic,Palearctic
Mareca penelope,Omnivore,Palearctic
Mareca sibilatrix,Omnivore,Neotropical
Mareca strepera,Herbivore aquatic,Palearctic
Marmaronetta angustirostris,Herbivore aquatic,Palearctic
Melanitta americana,Aquatic predator,Palearctic
Melanitta deglandi,Aquatic predator,Nearctic
Melanitta fusca,Aquatic predator,Palearctic
Melanitta nigra,Aquatic predator,Palearctic
Melanitta perspicillata,Aquatic predator,Nearctic
Melanitta stejnegeri,Aquatic predator,Palearctic
Merganetta armata,Aquatic predator,Neotropical
Mergellus albellus,Aquatic predator,Palearctic
Mergus merganser,Aquatic predator,Palearctic
Mergus octosetaceus,Aquatic predator,Neotropical
Mergus serrator,Aquatic predator,Palearctic
Mergus squamatus,Aquatic predator,Palearctic
Neochen jubata,Herbivore terrestrial,Neotropical
Netta erythrophthalma,Herbivore aquatic,Afrotropical
Netta peposaca,Herbivore aquatic,Neotropical
Netta rufina,Herbivore aquatic,Palearctic
Nettapus auritus,Herbivore aquatic,Afrotropical
Nettapus coromandelianus,Herbivore aquatic,Oriental
Nettapus pulchellus,Herbivore aquatic,Oceanian
Nomonyx dominicus,Herbivore aquatic,Neotropical
Oxyura australis,Herbivore aquatic,Australian
Oxyura ferruginea,Aquatic predator,Neotropical
Oxyura jamaicensis,Aquatic predator,Nearctic
Oxyura leucocephala,Aquatic predator,Palearctic
Oxyura maccoa,Omnivore,Afrotropical
Oxyura vittata,Herbivore aquatic,Neotropical
Plectropterus gambensis,Omnivore,Afrotropical
Polysticta stelleri,Aquatic predator,Palearctic
Pteronetta hartlaubii,Aquatic predator,Afrotropical
Radjah radjah,Aquatic predator,Oceanian
Rhodonessa caryophyllacea,NA,Oriental
Salvadorina waigiuensis,Aquatic predator,Oceanian
Sarkidiornis melanotos,Herbivore aquatic,Afrotropical
Sarkidiornis sylvicola,Herbivore aquatic,Neotropical
Sibirionetta formosa,Herbivore aquatic,Palearctic
Somateria fischeri,Aquatic predator,Nearctic
Somateria mollissima,Aquatic predator,Palearctic
Somateria spectabilis,Aquatic predator,Nearctic
Spatula clypeata,Aquatic predator,Palearctic
Spatula cyanoptera,Herbivore aquatic,Neotropical
Spatula discors,Herbivore aquatic,Nearctic
Spatula hottentota,Omnivore,Afrotropical
Spatula platalea,Herbivore aquatic,Neotropical
Spatula puna,Herbivore aquatic,Neotropical
Spatula querquedula,Herbivore aquatic,Palearctic
Spatula rhynchotis,Aquatic predator,Australian
Spatula smithii,Aquatic predator,Afrotropical
Spatula versicolor,Herbivore aquatic,Neotropical
Speculanas specularis,Herbivore aquatic,Neotropical
Stictonetta naevosa,Herbivore aquatic,Australian
Tachyeres brachypterus,Aquatic predator,Neotropical
Tachyeres leucocephalus,Aquatic predator,Neotropical
Tachyeres patachonicus,Aquatic predator,Neotropical
Tachyeres pteneres,Aquatic predator,Neotropical
Tadorna cana,Omnivore,Afrotropical
Tadorna cristata,NA,Palearctic
Tadorna ferruginea,Omnivore,Palearctic
Tadorna tadorna,Aquatic predator,Palearctic
Tadorna tadornoides,Omnivore,Australian
Tadorna variegata,Omnivore,Australian
Thalassornis leuconotus,Herbivore aquatic,Afrotropical
Anhima cornuta,Herbivore aquatic,Neotropical
Chauna chavaria,Herbivore aquatic,Neotropical
Chauna torquata,Herbivore aquatic,Neotropical
Anseranas semipalmata,Omnivore,Australian
Aceros nipalensis,Frugivore,Oriental
Anorrhinus austeni,Frugivore,Oriental
Anorrhinus galeritus,Frugivore,Oriental
Anorrhinus tickelli,Frugivore,Oriental
Anthracoceros albirostris,Frugivore,Oriental
Anthracoceros coronatus,Frugivore,Oriental
Anthracoceros malayanus,Frugivore,Oriental
Anthracoceros marchei,Frugivore,Oriental
Anthracoceros montani,Frugivore,Oriental
Berenicornis comatus,Omnivore,Oriental
Buceros bicornis,Frugivore,Oriental
Buceros hydrocorax,Frugivore,Oriental
Buceros mindanensis,Frugivore,Oriental
Buceros rhinoceros,Frugivore,Oriental
Bucorvus abyssinicus,Omnivore,Afrotropical
Bucorvus leadbeateri,Omnivore,Afrotropical
Bycanistes albotibialis,Frugivore,Afrotropical
Bycanistes brevis,Frugivore,Afrotropical
Bycanistes bucinator,Frugivore,Afrotropical
Bycanistes cylindricus,Frugivore,Afrotropical
Bycanistes fistulator,Frugivore,Afrotropical
Bycanistes sharpii,Frugivore,Afrotropical
Bycanistes subcylindricus,Frugivore,Afrotropical
Ceratogymna atrata,Frugivore,Afrotropical
Ceratogymna elata,Frugivore,Afrotropical
Horizocerus albocristatus,Invertivore,Afrotropical
Horizocerus cassini,Invertivore,Afrotropical
Horizocerus granti,Invertivore,Afrotropical
Horizocerus hartlaubi,Invertivore,Afrotropical
Lophoceros alboterminatus,Omnivore,Afrotropical
Lophoceros bradfieldi,Invertivore,Afrotropical
Lophoceros camurus,Invertivore,Afrotropical
Lophoceros fasciatus,Omnivore,Afrotropical
Lophoceros hemprichii,Invertivore,Afrotropical
Lophoceros nasutus,Invertivore,Afrotropical
Lophoceros pallidirostris,Invertivore,Afrotropical
Lophoceros semifasciatus,Omnivore,Afrotropical
Ocyceros birostris,Frugivore,Oriental
Ocyceros gingalensis,Frugivore,Oriental
Ocyceros griseus,Frugivore,Oriental
Penelopides affinis,Omnivore,Oriental
Penelopides manillae,Frugivore,Oriental
Penelopides mindorensis,Frugivore,Oriental
Penelopides panini,Frugivore,Oceanian
Rhabdotorrhinus corrugatus,Frugivore,Oriental
Rhabdotorrhinus exarhatus,Frugivore,Oriental
Rhabdotorrhinus leucocephalus,Frugivore,Oriental
Rhabdotorrhinus waldeni,Frugivore,Oriental
Rhinoplax vigil,Frugivore,Oriental
Rhyticeros cassidix,Frugivore,Oriental
Rhyticeros everetti,Frugivore,Oriental
Rhyticeros narcondami,Frugivore,Oriental
Rhyticeros plicatus,Frugivore,Oceanian
Rhyticeros subruficollis,Frugivore,Oriental
Rhyticeros undulatus,Frugivore,Oriental
Tockus damarensis,Invertivore,Afrotropical
Tockus deckeni,Invertivore,Afrotropical
Tockus erythrorhynchus,Invertivore,Afrotropical
Tockus flavirostris,Invertivore,Afrotropical
Tockus jacksoni,Invertivore,Afrotropical
Tockus leucomelas,Invertivore,Afrotropical
Tockus monteiri,Invertivore,Afrotropical
Phoeniculus bollei,Invertivore,Afrotropical
Phoeniculus damarensis,Invertivore,Afrotropical
Phoeniculus purpureus,Invertivore,Afrotropical
Phoeniculus somaliensis,Invertivore,Afrotropical
Rhinopomastus aterrimus,Invertivore,Afrotropical
Rhinopomastus castaneiceps,Invertivore,Afrotropical
Rhinopomastus cyanomelas,Invertivore,Afrotropical
Rhinopomastus minor,Invertivore,Afrotropical
Upupa epops,Invertivore,Saharo-Arabian
Upupa marginata,Invertivore,Madagascan
Aegotheles affinis,Invertivore,Oceanian
Aegotheles albertisi,Invertivore,Oceanian
Aegotheles archboldi,Invertivore,Oceanian
Aegotheles bennettii,Invertivore,Oceanian
Aegotheles crinifrons,Invertivore,Oceanian
Aegotheles cristatus,Invertivore,Australian
Aegotheles insignis,Invertivore,Oceanian
Aegotheles savesi,Invertivore,Australian
Aegotheles tatei,Invertivore,Oceanian
Aegotheles wallacii,Invertivore,Oceanian
Aerodramus bartschi,Invertivore,Oceanian
Aerodramus brevirostris,Invertivore,Sino-Japanese
Aerodramus elaphrus,Invertivore,Madagascan
Aerodramus francicus,Invertivore,Madagascan
Aerodramus fuciphagus,Invertivore,Oriental
Aerodramus hirundinaceus,Invertivore,Oceanian
Aerodramus infuscatus,Invertivore,Oceanian
Aerodramus inquietus,Invertivore,Oceanian
Aerodramus leucophaeus,Invertivore,Neotropical
Aerodramus maximus,Invertivore,Oriental
Aerodramus mearnsi,Invertivore,Sino-Japanese
Aerodramus nuditarsus,Invertivore,Oceanian
Aerodramus orientalis,Invertivore,Oceanian
Aerodramus papuensis,Invertivore,Oceanian
Aerodramus pelewensis,Invertivore,Oceanian
Aerodramus salangana,Invertivore,Oriental
Aerodramus sawtelli,Invertivore,Oceanian
Aerodramus spodiopygius,Invertivore,Oceanian
Aerodramus terraereginae,Invertivore,Australian
Aerodramus unicolor,Invertivore,Oriental
Aerodramus vanikorensis,Invertivore,Oceanian
Aerodramus vulcanorum,Invertivore,Oriental
Aerodramus whiteheadi,Invertivore,Sino-Japanese
Aeronautes andecolus,Invertivore,Neotropical
Aeronautes montivagus,Invertivore,Neotropical
Aeronautes saxatalis,Invertivore,Nearctic
Apus acuticauda,Invertivore,Oriental
Apus affinis,Invertivore,Afrotropical
Apus alexandri,Invertivore,Afrotropical
Apus apus,Invertivore,Palearctic
Apus balstoni,Invertivore,Madagascan
Apus barbatus,Invertivore,Afrotropical
Apus batesi,Invertivore,Afrotropical
Apus berliozi,Invertivore,Saharo-Arabian
Apus bradfieldi,Invertivore,Afrotropical
Apus caffer,Invertivore,Afrotropical
Apus horus,Invertivore,Afrotropical
Apus niansae,Invertivore,Afrotropical
Apus nipalensis,Invertivore,Oriental
Apus pacificus,Invertivore,Palearctic
Apus pallidus,Invertivore,Saharo-Arabian
Apus sladeniae,Invertivore,Afrotropical
Apus unicolor,Invertivore,Saharo-Arabian
Apus unicolor,Invertivore,Saharo-Arabian
Chaetura andrei,Invertivore,NA
Chaetura brachyura,Invertivore,Neotropical
Chaetura chapmani,Invertivore,Neotropical
Chaetura cinereiventris,Invertivore,Neotropical
Chaetura egregia,Invertivore,Neotropical
Chaetura fumosa,Invertivore,Neotropical
Chaetura martinica,Invertivore,Neotropical
Chaetura meridionalis,Invertivore,Neotropical
Chaetura pelagica,Invertivore,Nearctic
Chaetura spinicaudus,Invertivore,Neotropical
Chaetura vauxi,Invertivore,Nearctic
Collocalia esculenta,Invertivore,Oceanian
Collocalia linchi,Invertivore,Oriental
Collocalia troglodytes,Invertivore,Oceanian
Cypseloides cherriei,Invertivore,Neotropical
Cypseloides cryptus,Invertivore,Neotropical
Cypseloides fumigatus,Invertivore,Neotropical
Cypseloides lemosi,Invertivore,Neotropical
Cypseloides niger,Invertivore,Nearctic
Cypseloides rothschildi,Invertivore,Neotropical
Cypseloides senex,Invertivore,Neotropical
Cypseloides storeri,Invertivore,Nearctic
Cypsiurus balasiensis,Invertivore,Oriental
Cypsiurus gracilis,Invertivore,Madagascan
Cypsiurus parvus,Invertivore,Afrotropical
Hirundapus caudacutus,Invertivore,Palearctic
Hirundapus celebensis,Invertivore,Oriental
Hirundapus cochinchinensis,Invertivore,Oriental
Hirundapus giganteus,Invertivore,Oriental
Hydrochous gigas,Invertivore,Oriental
Mearnsia novaeguineae,Invertivore,Oceanian
Mearnsia picina,Invertivore,Oriental
Neafrapus boehmi,Invertivore,Afrotropical
Neafrapus cassini,Invertivore,Afrotropical
Panyptila cayennensis,Invertivore,Neotropical
Panyptila sanctihieronymi,Invertivore,Neotropical
Rhaphidura leucopygialis,Invertivore,Oriental
Rhaphidura sabini,Invertivore,Afrotropical
Schoutedenapus myoptilus,Invertivore,Afrotropical
Streptoprocne biscutata,Invertivore,Neotropical
Streptoprocne phelpsi,Invertivore,Neotropical
Streptoprocne rutila,Invertivore,Neotropical
Streptoprocne semicollaris,Invertivore,Nearctic
Streptoprocne zonaris,Invertivore,Neotropical
Tachornis furcata,Invertivore,Neotropical
Tachornis phoenicobia,Invertivore,Neotropical
Tachornis squamata,Invertivore,Neotropical
Tachymarptis aequatorialis,Invertivore,Afrotropical
